S&atilde;o Paulo | Todos os Munic&iacute;pios,,,,,,,,,,,,
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2020],Popula&ccedil;&atilde;o estimada - pessoas [2020],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2017],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2018]
Caiabu,3508900,caiabuense,SUELEN NARA MATOS MATIVE,253.352,4193,16.11,98.9,729,20.83,1.784.245.456,1.559.789.667,13893.64
Caieiras,3509007,caieirense,GILMAR SOARES VICENTE,97.642,102775,900.37,94.8,781,7.54,29.068.707.539,23.756.495.633,35517.31
Caiu&aacute;,3509106,caiuense,RUTE ALMEIDA DOS SANTOS LIMA,551.159,5946,9.16,99.3,697,46.51,3.025.015.624,261.710.968,13036.29
Cajamar,3509205,cajamarense,DANILO BARBOSA MACHADO,131.386,77934,488.18,96.5,728,13.52,44.755.350.022,3.864.984.297,224359.59
Cajati,3509254,cajatiense,LUCIVAL JOS&Eacute; CORDEIRO,454.436,28494,62.43,98.4,694,10.06,10.186.979.444,842.043.461,50776.98
Cajobi,3509304,cajobiense,GUSTAVO SEBASTI&Atilde;O DA COSTA,176.929,10596,55.22,99.7,734,10.42,3.248.739.429,3.021.652.334,14873.72
Cajuru,3509403,cajuruense,ALEX MORETINI,660.088,26393,35.41,97.1,713,11.73,6.702.945.859,59.784.761,22061.52
Campina do Monte Alegre,3509452,campinomontealegrense,GIL VICENTE DE OLIVEIRA JUNIOR,184.479,6057,30.09,97.5,717,26.67,22.714.434,1.947.558.047,18135.71
Campinas,3509502,campineiro,DARIO JORGE GIOLO SAADI,794.571,1213792,1359.60,96,805,8.88,461.499.076.219,471.997.568.304,51417.44
Campo Limpo Paulista,3509601,campo-limpense,LUIZ ANTONIO BRAZ,79.403,85541,932.92,96.7,769,11.35,18.959.027.143,16.342.727.489,25211.06
Campos do Jord&atilde;o,3509700,jordanense,MARCELO PADOVAN,289.981,52405,164.76,97.1,749,7.82,19.682.983.668,18.037.879.266,24107.48
Campos Novos Paulista,3509809,campos-novense,FLAVIO FERMINO EUFLAUZINO,484.199,4997,9.38,97.9,706,25.97,217.404.125,1.966.472.806,28746.56
Canan&eacute;ia,3509908,cananeiense,ROBSON DA SILVA LEONEL,1.237.354,12541,9.86,97.3,720,10.53,5.331.248.738,4.726.034.112,23977.74
Canas,3509957,canense,SILVANA KOMEIH DA SILVA ZANIN,53.261,5204,82.33,98.3,704,47.06,220.473.792,2.046.471.278,20623.06
C&acirc;ndido Mota,3510005,c&acirc;ndido-motense,ERALDO JOS&Eacute; PEREIRA,595.811,31346,50.12,98.2,747,14.84,11.906.747.623,9.180.050.762,37372.60
C&acirc;ndido Rodrigues,3510104,c&acirc;ndido-rodriguense,FABRICIO ANTONIO RONCOLLI,70.892,2799,37.94,99,789,47.62,1.855.795.683,1.417.740.555,35917.03
Canitar,3510153,canitarense,JOEL RODRIGUES,57.459,5292,76.34,96.1,680,28.57,1.972.373.873,1.700.702.541,36713.02
Cap&atilde;o Bonito,3510203,cap&atilde;o-bonitense,JULIO FERNANDO GALV&Atilde;O DIAS,1.640.230,47118,28.15,98.7,721,8.97,13.594.040.296,12.248.296.613,19221.42
Capela do Alto,3510302,capelense,P&Eacute;RICLES GON&Ccedil;ALVES,169.890,20985,103.20,96.5,699,14.04,5.975.163.173,5.183.196.495,13344.01
Capivari,3510401,capivariano,VITOR HUGO RICCOMINI,322.878,56379,150.45,97.3,750,16.13,21.147.650.331,19.216.205.772,37353.40
Caraguatatuba,3510500,caraguatatubense,JOS&Eacute; PEREIRA DE AGUILAR J&Uacute;NIOR,484.947,123389,207.88,97.7,759,13.09,67.164.892.887,5.953.609.078,27802.88
