genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Branisamys,luribayensis,29.000,21.000,4,2,0.0102
Branisella,boliviana,26.4,26.4,4,3,0.0475
Brasilemys,josai,112.600,109.000,1,1,0.0213
Brasileodactylus,araripensis,112.600,109.000,1,1,0.0213
Brasileodactylus,sp.,112.600,109.000,1,1,0.0213
Brasileosaurus,pachecoi,84.900,66.043,1,1,1.0000
Brasilestes,stardusti,84.900,66.043,1,0,NaN
Brasilichnium,elusivum,125.450,66.043,3,3,1.0000
Brasiliguana,prudentis,84.900,66.043,1,0,NaN
Brasiliochoerus,stenocephalus,2.588,0.012,1,0,NaN
Brasilitherium,riograndensis,221.500,205.600,3,2,0.0615
Brasilodon,quadrangularis,221.500,205.600,1,1,0.0682
Brasilotitan,nemophagus,84.900,66.043,1,1,1.0000
Brasinorhynchus,mariantensis,242.000,235.000,1,0,NaN
Brazilichthys,macrognathus,279.500,272.500,1,0,NaN
Brazilosaurus,sanpauloensis,290.100,279.500,6,6,0.4626
Bregmaceros,sp.,23.030,15.970,1,0,NaN
Bretesuchus,bonapartei,58.700,48.600,1,0,NaN
Brevichara,sp.,66.043,55.800,1,0,NaN
Brontopodus,sp.,155.700,150.800,1,1,1.0000
Brucemacfaddenia,boliviensis,29.000,21.000,4,0,NaN
Brujadelphis,ankylorostris,13.650,11.608,1,1,1.0000
Brychaetus,sp.,70.600,55.800,1,0,NaN
Bubo,sp.,0.02798,0.0255,1,1,0.0382
Buccella,frigida,15.970,5.332,1,1,0.0262
Buccella,sp.,15.970,5.332,1,1,0.0098
Bufo,marinus,2.588,0.781,1,0,NaN
Bufo,spinulosus,0.126,0.012,1,0,NaN
Burhinus,sp.,0.02798,0.0255,1,1,0.0064
Burhinus,superciliaris,0.126,0.012,1,0,NaN
Buriolestes,schultzi,235.000,205.600,1,1,0.2000
Bursa,chira,37.200,33.900,1,0,NaN
Buteogallus,aequinoctialis,0.02798,0.0255,1,1,0.0064
Buteogallus,meridionalis,0.02798,0.0255,1,1,0.0064
Buteogallus,"new sp.",0.02798,0.0255,1,1,0.0255
Buteo,hoffstetteri,0.126,0.012,1,0,NaN
Buteo,polyosoma,0.126,0.012,1,0,NaN
Buteo,sp.,0.02798,0.0255,1,1,0.0127
Cabassous,sp.,2.588,0.000,1,0,NaN
Cachiyacuy,contamanensis,43.44,33.900,5,0,NaN
Cachiyacuy,kummeli,48.600,33.900,5,0,NaN
Caenophilus,tripartitus,11.800,10.000,1,0,NaN
Caiman,australis,11.608,7.246,1,0,NaN
Caiman,brevirostris,11.608,7.246,3,0,NaN
Caiman,crocodilus,1.0,0.5,1,0,NaN
Caiman,latirostris,11.608,0.012,4,0,NaN
Caiman,paranensis,11.608,7.246,1,0,NaN
Caiman,praecursor,11.608,7.246,1,0,NaN
Caiman,sp.,20.430,0.012,8,0,NaN
Caiman,tremembensis,28.400,15.970,1,0,NaN
Caiman,wannlangstoni,13.800,5.332,4,0,NaN
Cairina,moschata,0.02798,0.0255,1,1,0.0127
Caiuajara,dobruskii,94.300,70.600,1,0,NaN
Calamopleurus,cylindricus,122.460,109.000,1,0,NaN
Calappa,circularis,23.030,15.970,1,0,NaN
Calappilia,broksi,23.030,15.970,1,0,NaN
Calchaquitherium,mixtum,9.000,6.800,1,0,NaN
