collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,10_my_bin
13626,Fossilworks,"J. Alroy",,Sargus,,incertus,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Sparus,,antiquus,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Margarita,,punctulata,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Margarites,,striatus,,Margarita,,striata,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Scalaria,,minuta,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Littorina,,gigantea,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Phasianella,,fossilis,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Cerithium,,americanum,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Adelomelon,,alta,,Voluta,,alta,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Crassostrea,,patagonica,,Ostrea,,patagonica,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Cubitostrea,,alvarezii,,Ostrea,,alvarezii,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Ostrea,,elongata,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Ostrea,,strangulata,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Ostrea,,entreriana,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Ostrea,,axillata,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Ostrea,,foliiformis,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Acesta,,excavata,,Ostrea,,excavata,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Ostrea,,semitabulata,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Ostrea,,agglomerans,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Aequipecten,,paranensis,,Pecten,,paranensis,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Amusium,,darwinianum,,Pecten,,darwinianus,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Anomia,,pileata,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Anadara,,bonplandiana,,Arca,,bonplandiana,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Arca,,obliqua,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Arca,,strangulata,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Mytilus,,trigonus,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Lithophaga,,ostricola,,Lithodomus,,ostricola,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Cardium,,muliradiatum,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Cardium,,suborbicularis,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Cardium,,squamiferum,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Carditella,,semen,,Cardium,,pygmaeum,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Coelopis,,striata,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Lucinopsis,,concentricum,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Cytherea,,munsteri,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Venus,,elongata,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Venus,,meridionalis,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Solea,,sp.,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Balanus,,foliatus,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Balanus,,subconicus,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Homarus,,meridionalis,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Asterias,,dugratii,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Toxodon,,paranensis,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Silurus,,agassizii,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy","n. gen.",Ribodon,"n. sp.",limbatus,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Otaria,"n. sp.",fischeri,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Caiman,"n. sp.",paranensis,,Crocodilus,"n. sp.",paranensis,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Caiman,"n. sp.",praecursor,,Jacaretinga,"n. sp.",praecursor,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy","n. gen.",Leptorramphus,"n. sp.",entrerrianus,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy","n. gen.",Rhamphostomopsis,"n. sp.",neogaeus,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Rhamphostomopsis,"n. sp.",neogaeus,,Rhamphostomopsis,"n. sp.",intermedius,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy","n. gen.",Notictis,"n. sp.",ortizii,"n. gen.",Notictis,"n. sp.",ortizi,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy","n. gen.",Stylocynus,"n. sp.",paranensis,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Emys,"n. sp.",paranensis,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Platemys,"n. sp.",bergii,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Platemys,"n. sp.",entreriana,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Platemys,"n. sp.",holmbergii,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Platemys,"n. sp.",mesopotamica,,,,,6134,"Cenozoic 6"
